Date,Effort,Developers,Milestones
21.02,2,lkn16;ms6616,DefineInitialMilestones
21.02,10,lkn16;ms6616,LexAssignOperator;ParseAssignOperator;TranslateAssignOperator
23.02,8,lkn16;ms6616,"ParseStatements, ParseExpressions, TranslateStatements, TranslateExpressions"
26.02,4,lkn16;ms6617,"AddStack,SupportConditionals"
27.02,4,lkn16,"SupportFunctions,SupportOperators, SupportGlobalVariables,SupportFunctionCalls"
6.03,6,lkn16;ms6617,"CreateCodeGenStructure, SetUpTestsuite"
7.03,5,ms6616,SetUpTestsuite
7.03,6,lkn16,ImplementStackForScopes
14.03,8,ms6616,WriteTests
14.03,8,lkn16,"ImplementContext, CreateCodeGenStructure"
